Date,Revenue
2019-01-01,0.0
2019-01-02,-0.29235551
2019-01-03,-0.327771797
2019-01-04,-0.339987124
2019-01-05,-0.124887516
2019-01-06,-0.491589564
2019-01-07,-1.255249811
2019-01-08,-1.896278894
2019-01-09,-1.747259385
2019-01-10,-2.129557666
2019-01-11,-2.151421873
2019-01-12,-3.228636996
2019-01-13,-2.82261611
2019-01-14,-3.609712765
2019-01-15,-3.398875124
2019-01-16,-2.86742462
2019-01-17,-2.714606918
2019-01-18,-2.021083992
2019-01-19,-1.126014167
2019-01-20,-0.845545147
2019-01-21,-1.187849066
2019-01-22,-1.59336888
2019-01-23,-2.233633574
2019-01-24,-2.982968143
2019-01-25,-3.749676183
2019-01-26,-4.068317954
2019-01-27,-4.172911745
2019-01-28,-4.423298703
2019-01-29,-3.773237316
2019-01-30,-3.130365934
2019-01-31,-3.066997384
2019-02-01,-2.22210903
2019-02-02,-1.354650789
2019-02-03,-0.4158986
2019-02-04,0.088848229
2019-02-05,0.986810894
2019-02-06,1.072086118
2019-02-07,0.57528878
2019-02-08,0.778475881
2019-02-09,0.73196193
2019-02-10,1.267407631
2019-02-11,1.277651113
2019-02-12,1.929653231
2019-02-13,1.889880294
2019-02-14,2.117565859
2019-02-15,1.508082592
2019-02-16,1.363420928
2019-02-17,1.5739201
2019-02-18,2.230154152
2019-02-19,2.300218825
2019-02-20,2.192618171
2019-02-21,1.688464709
2019-02-22,0.972800561
2019-02-23,0.111183529
2019-02-24,-0.760918283
2019-02-25,-1.136513527
2019-02-26,-1.009243327
2019-02-27,-0.796619163
2019-02-28,-1.059523171
2019-03-01,-1.356564471
2019-03-02,-0.820546228
2019-03-03,-0.210374093
2019-03-04,-0.719979082
2019-03-05,-0.975571569
2019-03-06,-0.897997487
2019-03-07,-1.482087197
2019-03-08,-1.718531822
2019-03-09,-1.944984194
2019-03-10,-2.081631254
2019-03-11,-1.677598826
2019-03-12,-0.857027501
2019-03-13,0.138078077
2019-03-14,0.292251765
2019-03-15,0.715324746
2019-03-16,0.999854011
2019-03-17,1.382473235
2019-03-18,1.779406713
2019-03-19,2.527373277
2019-03-20,3.035813107
2019-03-21,3.162815518
2019-03-22,2.567444507
2019-03-23,1.699930964
2019-03-24,1.619725289
2019-03-25,2.15744872
2019-03-26,3.336191289
