,0
0,0
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,0
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,1
339,0
340,0
341,1
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,1
360,0
361,0
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,0
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,0
432,0
433,0
434,1
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,0
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,0
472,0
473,0
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,0
500,0
501,0
502,1
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,0
521,1
522,1
523,0
524,1
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,0
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,1
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,1
592,1
593,0
594,1
595,0
596,1
597,0
598,0
599,0
600,1
601,0
602,0
603,1
604,1
605,0
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,0
617,0
618,1
619,0
620,1
621,0
622,1
623,1
624,0
625,0
626,1
627,0
628,0
629,1
630,1
631,1
632,0
633,0
634,1
635,0
636,1
637,1
638,1
639,0
640,1
641,1
642,0
643,1
644,1
645,0
646,0
647,1
648,1
649,0
650,0
651,1
652,1
653,1
654,0
655,1
656,1
657,0
658,0
659,0
660,1
661,0
662,1
663,0
664,1
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,0
679,1
680,1
681,1
682,0
683,1
684,1
685,0
686,0
687,1
688,1
689,1
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,1
699,0
700,1
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,1
710,1
711,1
712,1
713,1
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,0
723,1
724,0
725,1
726,0
727,1
728,1
729,0
730,1
731,1
732,0
733,1
734,1
735,1
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,1
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,0
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,0
772,1
773,1
774,1
775,0
776,1
777,0
778,1
779,0
780,1
781,0
782,1
783,0
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,1
810,0
811,1
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,0
821,1
822,1
823,0
824,1
825,0
826,0
827,0
828,1
829,0
830,1
831,1
832,1
833,0
834,0
835,0
836,0
837,0
838,1
839,0
840,0
841,1
842,0
843,1
844,1
845,0
846,0
847,1
848,1
849,1
850,0
851,1
852,1
853,0
854,1
855,0
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,0
864,1
865,1
866,1
867,1
868,1
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,0
877,1
878,0
879,1
880,1
881,0
882,1
883,0
884,1
885,1
886,1
887,0
888,0
889,1
890,0
891,1
892,1
893,1
894,1
895,0
896,0
897,0
898,1
899,1
900,1
901,0
902,0
903,0
904,1
905,0
906,1
907,1
908,1
909,1
910,1
911,0
912,0
913,0
914,1
915,1
916,0
917,1
918,0
919,1
920,0
921,1
922,0
923,0
924,1
925,1
926,0
927,1
928,0
929,0
930,0
931,0
932,1
933,1
934,1
935,1
936,1
937,0
938,0
939,0
940,0
941,1
942,0
943,1
944,1
945,0
946,0
947,1
948,0
949,1
950,1
951,1
952,0
953,1
954,1
955,1
956,0
957,0
958,0
959,1
960,1
961,0
962,0
963,1
964,1
965,0
966,0
967,1
968,0
969,1
970,0
971,1
972,1
973,0
974,0
975,0
976,1
977,0
978,1
979,1
980,1
981,0
982,1
983,1
984,1
985,1
986,1
987,0
988,1
989,0
990,1
991,0
992,0
993,1
994,0
995,0
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,0
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,0
1027,1
1028,1
1029,0
1030,1
1031,1
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,0
1041,0
1042,0
1043,0
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,0
1053,0
1054,0
1055,0
1056,1
1057,1
1058,1
1059,0
1060,1
