,Questions,Ratings
4,Nurse communication - star rating,3
18,Doctor communication - star rating,3
32,Staff responsiveness - star rating,2
43,Communication about medicines - star rating,3
53,Discharge information - star rating,4
62,Care transition - star rating,3
76,Cleanliness - star rating,3
81,Quietness - star rating,3
86,Overall hospital rating - star rating,4
91,Recommend hospital - star rating,4
92,Summary star rating,3
97,Nurse communication - star rating,3
111,Doctor communication - star rating,4
125,Staff responsiveness - star rating,1
136,Communication about medicines - star rating,2
146,Discharge information - star rating,3
155,Care transition - star rating,3
169,Cleanliness - star rating,3
174,Quietness - star rating,4
179,Overall hospital rating - star rating,3
184,Recommend hospital - star rating,3
185,Summary star rating,3
190,Nurse communication - star rating,2
204,Doctor communication - star rating,3
218,Staff responsiveness - star rating,1
229,Communication about medicines - star rating,2
239,Discharge information - star rating,3
248,Care transition - star rating,2
262,Cleanliness - star rating,1
267,Quietness - star rating,3
272,Overall hospital rating - star rating,2
277,Recommend hospital - star rating,2
278,Summary star rating,2
283,Nurse communication - star rating,4
297,Doctor communication - star rating,4
311,Staff responsiveness - star rating,4
322,Communication about medicines - star rating,4
332,Discharge information - star rating,4
341,Care transition - star rating,4
355,Cleanliness - star rating,3
360,Quietness - star rating,4
365,Overall hospital rating - star rating,4
370,Recommend hospital - star rating,4
371,Summary star rating,4
469,Nurse communication - star rating,3
483,Doctor communication - star rating,3
497,Staff responsiveness - star rating,3
508,Communication about medicines - star rating,3
518,Discharge information - star rating,3
527,Care transition - star rating,3
541,Cleanliness - star rating,3
546,Quietness - star rating,3
551,Overall hospital rating - star rating,3
556,Recommend hospital - star rating,3
557,Summary star rating,3
562,Nurse communication - star rating,2
576,Doctor communication - star rating,4
590,Staff responsiveness - star rating,2
601,Communication about medicines - star rating,2
611,Discharge information - star rating,3
620,Care transition - star rating,2
634,Cleanliness - star rating,3
639,Quietness - star rating,3
644,Overall hospital rating - star rating,2
649,Recommend hospital - star rating,2
650,Summary star rating,3
655,Nurse communication - star rating,3
669,Doctor communication - star rating,4
683,Staff responsiveness - star rating,2
694,Communication about medicines - star rating,3
704,Discharge information - star rating,3
713,Care transition - star rating,3
727,Cleanliness - star rating,1
732,Quietness - star rating,3
737,Overall hospital rating - star rating,3
742,Recommend hospital - star rating,3
743,Summary star rating,3
841,Nurse communication - star rating,5
855,Doctor communication - star rating,4
869,Staff responsiveness - star rating,3
880,Communication about medicines - star rating,3
890,Discharge information - star rating,3
899,Care transition - star rating,4
913,Cleanliness - star rating,3
918,Quietness - star rating,4
923,Overall hospital rating - star rating,4
928,Recommend hospital - star rating,4
929,Summary star rating,4
934,Nurse communication - star rating,2
948,Doctor communication - star rating,4
962,Staff responsiveness - star rating,3
973,Communication about medicines - star rating,3
983,Discharge information - star rating,4
992,Care transition - star rating,3
1006,Cleanliness - star rating,4
1011,Quietness - star rating,4
1016,Overall hospital rating - star rating,3
1021,Recommend hospital - star rating,3
1022,Summary star rating,3
1120,Nurse communication - star rating,3
1134,Doctor communication - star rating,3
1148,Staff responsiveness - star rating,3
1159,Communication about medicines - star rating,3
1169,Discharge information - star rating,4
1178,Care transition - star rating,3
1192,Cleanliness - star rating,3
1197,Quietness - star rating,3
1202,Overall hospital rating - star rating,3
1207,Recommend hospital - star rating,4
1208,Summary star rating,3
1213,Nurse communication - star rating,3
1227,Doctor communication - star rating,3
1241,Staff responsiveness - star rating,3
1252,Communication about medicines - star rating,2
1262,Discharge information - star rating,2
1271,Care transition - star rating,2
1285,Cleanliness - star rating,2
1290,Quietness - star rating,4
1295,Overall hospital rating - star rating,3
1300,Recommend hospital - star rating,3
1301,Summary star rating,3
1306,Nurse communication - star rating,4
1320,Doctor communication - star rating,4
1334,Staff responsiveness - star rating,3
1345,Communication about medicines - star rating,3
1355,Discharge information - star rating,3
1364,Care transition - star rating,3
1378,Cleanliness - star rating,3
1383,Quietness - star rating,4
1388,Overall hospital rating - star rating,4
1393,Recommend hospital - star rating,4
1394,Summary star rating,3
1399,Nurse communication - star rating,3
1413,Doctor communication - star rating,4
1427,Staff responsiveness - star rating,3
1438,Communication about medicines - star rating,4
1448,Discharge information - star rating,4
1457,Care transition - star rating,4
1471,Cleanliness - star rating,2
1476,Quietness - star rating,3
1481,Overall hospital rating - star rating,4
1486,Recommend hospital - star rating,4
1487,Summary star rating,4
1585,Nurse communication - star rating,4
1599,Doctor communication - star rating,4
1613,Staff responsiveness - star rating,3
1624,Communication about medicines - star rating,3
1634,Discharge information - star rating,2
1643,Care transition - star rating,3
1657,Cleanliness - star rating,4
1662,Quietness - star rating,4
1667,Overall hospital rating - star rating,4
1672,Recommend hospital - star rating,3
1673,Summary star rating,3
1678,Nurse communication - star rating,2
1692,Doctor communication - star rating,3
